Tag	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Pearson Correlation	RMSE
TCGA-CG-4477-01	0.00525478019719981	0	0.116229381762187	0.0725788621381145	0	0.123597352806415	0.167347897219893	0.00261700158635018	0	0.0140120771953768	0.0170537589532042	0	0.00584998382255759	0.0214506872291993	0.0763563682720187	0.153026400712155	0.00213322223700882	0.108928557807277	0.0313587237068359	0	0.0279100768067764	0.0542948675474305	0	0.337813320022169	0.941862694369429
TCGA-CG-5717-01	0.0821048823792004	0	0	0.116839696125286	0	0.167282226547832	0.0229895308563029	0.0136352522404465	0.108929268649796	0	0.0201669176135789	0	0.0191214074978039	0.0705622475154491	0.124190226045504	0.0683929681169277	0.0425618046427755	0.0160270583048927	0.118279363874001	0	0	0.00891714959020407	0.02	0.19353693663578	1.00859951330446
TCGA-CG-5718-01	0.00300134873878804	0	0.128600132408478	0.0295070321473126	0	0.181861025907696	0	0	0.134286976441204	0	0.0254097293711027	0	0	0.202237062733261	0.0760736599328496	0.084361982639358	0.0110307283239851	0	0	0.0359411354843633	0	0.0876891858716019	0.02	0.281627732739294	0.969950215875587
TCGA-CG-5719-01	0.00605309682229013	0	0.0910757228362078	0.0279304718481601	0	0.117149914209533	0	0	0.0727305473595168	0.0127693681829323	0	0.0413916216589888	0	0.439766985171133	0	0.139027284384308	0	0	0.0288092035115033	0	0	0.023295784015426	0	0.505260664359748	0.864110304798859
TCGA-CG-5720-01	0.00514434037084564	0.00492362090853711	0.0389111358680756	0.101419370382926	0	0.14552209856179	0.0234426981152841	0.0104450282554872	0.0753372290208656	0	0.0328449605186389	0	0.023907429574839	0.194665264235048	0.0643256289035764	0.121283600931425	0	0	0	0.0764824722902953	0.00697188467546632	0.0743732373868994	0.02	0.251455050839115	0.986684649488896
TCGA-CG-5721-01	0.0046482718363376	0	0.0159981361130757	0.296291347969521	0	0	0.18204345269615	0.016601032328855	0.0262708707555051	0.0197199239179396	0.0242734917878315	0.00872976029930366	0	0.107535711725468	0.148871035578663	0.0964594543267496	0.0259120878116982	0.00129675405902592	0.0192799726425344	0	0.000479168836850858	0.00558952731449047	0	0.499400323159853	0.86556069990799
TCGA-CG-5722-01	0.0833330291029301	0	0.0699711797493553	0.305132441471336	0	0.0823390602156996	0.0880678636910768	0.0480855198035843	0.058015470229064	0	0	0.036140794597679	0.0188783875212127	0.0239378272603866	0.0705027622639859	0.0492609338444596	0.00515695790795131	0	0.0577599929760114	0	0	0.00341777936526728	0.02	0.208252332589738	1.0100270976483
TCGA-CG-5723-01	0	0	0.119627371735867	0.177702299744197	0	0.0217534143022243	0.190371732354479	0.0303608577541068	0	0	0.0036214580645501	0.0314998376605342	0.016828777249734	0.0188564077459181	0.10413317319379	0.113728206118289	0.0317080924865961	0.0437367020039866	0	0.0675450206647813	0	0.0285266489209468	0	0.465974371539865	0.88514261897138
TCGA-CG-5724-01	0.00468065725591144	0	0	0.116844255574437	0	0.0955466566540447	0.0641502618639316	0.00291089333126323	0.0699964387833706	0	0.021356540522477	0	0.0282066555312377	0.133970986195238	0.0994825246512128	0.207396864099159	0	0.0142368180049494	0	0.116341862345744	0	0.0248785851870234	0.02	0.187282361782834	1.01972565113793
TCGA-CG-5725-01	0.0810212541432179	0	0.0978396666010861	0.233486990569901	0	0.00906534351695071	0.0120711796161649	0.0161437534390601	0.0907553701368657	0	0	0.0171314683956368	0	0.235443014539582	0.0772764827376463	0.09292477975226	0	0	0	0.0368406965516287	0	0	0.06	0.126910429607714	1.04073225608134
TCGA-CG-5726-01	0	0	0.0348794493054254	0.0984327077025377	0	0.255945091598461	0.102342479593322	0.00467585473008033	0.0174473840791661	0	0.0153149305744756	0.00800639992375882	0.0137503466916997	0.151173504441298	0.0664153473762551	0.119376325998278	0.0649335428825248	0	0.00365454117515044	0	0.0307469509005397	0.0129051430270276	0.26	0.0687090897119071	1.05967404219778
TCGA-CG-5732-01	0.0285182201192794	0.0327617135313888	0.258198763914269	0.184139960395221	0	0.133310467903146	0	0	0.112090759479849	0	0	0.0209660407612209	0.00640388159349419	0.0799274536924595	0.0297522412328363	0.0687662732069444	0.0146537487571578	0.000166227866728609	0	0.0187007839676732	0	0.011643463578332	0.06	0.152988466158734	1.01704750016068
TCGA-CG-5734-01	0.00905519140188149	0	0.150663060115819	0.081761265772612	0	0.113964046514744	0.0501543257260579	0.0258911762715986	0.0641722935675011	0	0.0422297747494064	0	0	0.219757703986753	0.0590629875508288	0.0929132036768812	0.0246599038328575	0	0	0.0440545461665428	0.021660520666517	0	0	0.475355937805225	0.881879794977115
TCGA-D7-5577-01	0.0537386784684787	0	0.00657936874917753	0.258796645808754	0	0	0.107043098937866	0.0425699359650589	0.0896950460661015	0	0.029298817405672	0	0.002239622312446	0.0698016506709886	0.140786471222676	0.178658897945273	0.0100888502235467	0.00162025904230062	0.00627910519584561	0.00272854839335982	0	7.50035924560783e-05	0	0.485152372439449	0.873700129882598
TCGA-D7-5578-01	0.0200523932902392	0.0197048383925094	0.21660240734479	0.118283225484597	0	0.114108319258207	0	0.00405670226904076	0.0210184763251814	0	0	0.0550675776384774	0.0362932565353659	0.127918775319939	0.103946787842557	0.0675910376746788	0.0499191636071354	0	0.0223532167709937	0.023083822246287	0	0	0.02	0.214506853755794	0.992419457633053
TCGA-D7-6519-01	0.0334934633835734	0	0	0.205059828158236	0	0.11780890121207	0	0.0165283732595994	0.134068323536413	0	0	0.0710582335237303	0.0145992927693274	0.0138286142200588	0.048364561771908	0.211781868082114	0.0227383079695424	0	0.110670232113428	0	0	0	0.06	0.14491474198144	1.03516028955785
TCGA-D7-6520-01	0.0657841869112357	0	0.0354774320767528	0.040477588876522	0	0.228174834872844	0.0594988737955776	0.0170612891228811	0.136295124681397	0	0.015433023543892	0	0.0265477613213792	0.0636251566874543	0.104770690490408	0.125874929225921	0	0.0339425410235737	0.0470365673701604	0	0	0	0.05	0.16364465619265	1.01930630696133
TCGA-D7-6521-01	0.0359466671716922	0.0304271975701129	0.0502034675692152	0.150495599330259	0	0.1088560508127	0.00844048469355357	0.0157399664273772	0.119018266839585	0	0.0052226933037061	0	0.00872946166925288	0.174288210204887	0.0672895723690639	0.176485544460735	0.0310909912946832	0	0.0103918640482935	0.00072059404586111	0.00112200522504272	0.00553136296397919	0.02	0.264643763500585	0.977985123380322
TCGA-D7-6522-01	0.0403742675517574	0.0463111406529456	0.0154584593246053	0.151449222993031	0	0.0563982984911206	0.0448950240541802	0.00970686001237808	0.136220247459747	0	0	0.0235240359091865	0.00223146506784293	0.122798449857992	0.0604517834071025	0.184510052454491	0.0475300913590642	0	0.0512827966774379	0	0.0025506868501881	0.00430711787692847	0	0.522788183916568	0.858846228816295
