Tag	StromalScore	ImmuneScore	ESTIMATEScore
TCGA-VQ-A8PJ-01	-325.8706	1377.4825	1051.6119
TCGA-VQ-A8PK-01	981.3205	2390.7681	3372.0885
TCGA-VQ-A8PM-01	2176.732	4497.061	6673.792
TCGA-VQ-A8PO-01	1647.03	4304.716	5951.746
TCGA-VQ-A8PP-01	1617.456	3222.702	4840.157
TCGA-VQ-A8PQ-01	3034.421	6437.775	9472.196
TCGA-VQ-A8PU-01	-350.6557	1420.7612	1070.1055
TCGA-VQ-A8PX-01	-837.086	2776.158	1939.072
TCGA-VQ-A91A-01	3658.064	3513.266	7171.33
TCGA-VQ-A91D-01	1493.408	3230.883	4724.291
TCGA-VQ-A91E-01	-590.4619	3365.4611	2774.9992
TCGA-VQ-A91K-01	1637.768	3591.966	5229.734
TCGA-VQ-A91N-01	-162.7262	1836.493	1673.7668
TCGA-VQ-A91Q-01	1696.818	1480.599	3177.417
TCGA-VQ-A91S-01	706.3101	3429.8788	4136.1889
TCGA-VQ-A91U-01	918.1212	3637.5053	4555.6265
TCGA-VQ-A91V-01	-740.8915	1476.1062	735.2147
TCGA-VQ-A91X-01	-1879.5661	477.6321	-1401.934
TCGA-VQ-A91Y-01	3301.726	4540.361	7842.087
TCGA-VQ-A91Z-01	-1624.6699	35.04145	-1589.62845
TCGA-VQ-A922-01	2050.05	1363.969	3414.019
TCGA-VQ-A924-01	1413.471	3406.939	4820.41
TCGA-VQ-A925-01	-5.425654	1880.106052	1874.680398
TCGA-VQ-A927-01	1254.902	2923.463	4178.366
TCGA-VQ-A928-01	1968.076	2137.431	4105.507
TCGA-VQ-A92D-01	509.9721	929.9059	1439.878
TCGA-VQ-A94O-01	522.2922	2418.8123	2941.1045
TCGA-VQ-A94P-01	3815.257	3995.625	7810.882
TCGA-VQ-A94R-01	2487.801	2947.02	5434.821
TCGA-VQ-A94T-01	266.142	1087.528	1353.67
TCGA-VQ-A94U-01	1972.897	1607.222	3580.119
TCGA-VQ-AA64-01	2059.884	1900.502	3960.386
TCGA-VQ-AA68-01	7.899235	2961.050478	2968.949712
TCGA-VQ-AA69-01	-98.79594	2799.28384	2700.4879
TCGA-VQ-AA6A-01	-328.4008	1432.3015	1103.9008
TCGA-VQ-AA6D-01	-956.98503	1015.84504	58.86001
TCGA-VQ-AA6F-01	665.0169	3535.3537	4200.3706
TCGA-VQ-AA6G-01	203.1163	1940.5976	2143.7139
TCGA-VQ-AA6J-01	1741.595	4657.593	6399.189
TCGA-VQ-AA6K-01	1431.133	3020.301	4451.434
TCGA-ZA-A8F6-01	2988.221	3986.187	6974.409
TCGA-ZQ-A9CR-01	3227.813	4092.215	7320.029
