Tag	dynamicColors	mergedColors
KLF10	turquoise	turquoise
EXOC3	yellow	cyan
F8	turquoise	turquoise
SDHA	yellow	cyan
MRPL12	brown	brown
DPP7	grey	grey
TLE4	turquoise	turquoise
RRP1	brown	brown
NEK7	blue	cyan
GTF2A1	blue	cyan
CAT	yellow	cyan
MMP12	turquoise	turquoise
SAMD11	turquoise	turquoise
ANO9	grey	grey
TMEM62	green	cyan
CDK16	brown	brown
CCDC117	black	cyan
TPD52	grey	grey
PFDN6	brown	brown
RAB1B	black	cyan
C4B	turquoise	turquoise
RPS29	grey	grey
SLC35D2	green	cyan
DHX8	yellow	cyan
ACHE	grey	grey
PERM1	grey	grey
DNM1L	blue	cyan
KLHL11	yellow	cyan
NHSL1	yellow	cyan
FOXJ3	blue	cyan
MMP16	turquoise	turquoise
DDAH2	greenyellow	greenyellow
RNASET2	grey	grey
PFKP	grey	grey
ADCYAP1	turquoise	turquoise
MUC4	grey	grey
CTH	grey	grey
ZNF580	turquoise	turquoise
AIDA	blue	cyan
CEP164	greenyellow	greenyellow
ZBTB25	blue	cyan
OLR1	magenta	magenta
SPRED1	blue	cyan
LAGE3	brown	brown
RAB39B	red	magenta
TMEM129	yellow	cyan
URB1	yellow	cyan
APRT	grey	grey
RBP1	grey	grey
IL34	turquoise	turquoise
TMEM130	turquoise	turquoise
APBB2	blue	cyan
TDRD7	blue	cyan
KDM6B	yellow	cyan
EARS2	yellow	cyan
UQCR10	grey	grey
AURKB	brown	brown
COX7C	grey	grey
FAM131C	grey	grey
GRSF1	green	cyan
ADGRG6	grey	grey
METTL27	grey	grey
MIER2	black	cyan
NIPA2	green	cyan
MCRIP1	pink	turquoise
CCNI2	brown	brown
SLFN12	red	magenta
VPS53	yellow	cyan
TPCN2	yellow	cyan
BCL9L	yellow	cyan
PKN2	blue	cyan
ENTPD1	purple	turquoise
ADGRG5	red	magenta
PDPN	pink	turquoise
MT1X	grey	grey
MMP9	magenta	magenta
MREG	brown	brown
GPRIN1	yellow	cyan
MED24	brown	brown
COL22A1	grey	grey
ARMCX3	grey	grey
TTC22	grey	grey
RGS10	magenta	magenta
CSRP2	turquoise	turquoise
HPGD	grey	grey
H3F3A	cyan	cyan
ZNF317	yellow	cyan
S100A5	grey	grey
ZFPM1	grey	grey
TCN2	magenta	magenta
SLC17A5	green	cyan
UQCC3	brown	brown
BTG2	turquoise	turquoise
ODF3L1	grey	grey
QRSL1	brown	brown
TMED2	brown	brown
COIL	green	cyan
ZNF789	tan	tan
ARF5	black	cyan
PARPBP	brown	brown
KPNB1	green	cyan
PCMTD2	tan	tan
ADD1	yellow	cyan
ARL14EP	blue	cyan
SASH3	red	magenta
POSTN	pink	turquoise
HECTD1	blue	cyan
ALKBH5	black	cyan
NGEF	grey	grey
ARL6IP6	brown	brown
PCYT1A	yellow	cyan
MRPL9	brown	brown
TANGO6	yellow	cyan
TEDC2	brown	brown
LRFN1	grey	grey
PTGES2	brown	brown
ZNF319	yellow	cyan
PPP1R1B	grey	grey
DENND3	blue	cyan
CRAT	grey	grey
CHST14	pink	turquoise
GLB1	yellow	cyan
ZNRD2	brown	brown
SACS	blue	cyan
MLX	brown	brown
TPCN1	yellow	cyan
JPH1	grey	grey
HSH2D	red	magenta
NCBP2AS2	brown	brown
FAM161A	blue	cyan
RNFT2	brown	brown
CD19	red	magenta
ZBTB10	turquoise	turquoise
PECR	grey	grey
DENR	green	cyan
GPX3	turquoise	turquoise
ASAP1	blue	cyan
ARHGAP15	red	magenta
FAU	brown	brown
LASP1	yellow	cyan
RAB23	turquoise	turquoise
RPL39	grey	grey
ABHD15	yellow	cyan
RNF152	purple	turquoise
NIPAL4	turquoise	turquoise
RMDN2	turquoise	turquoise
RASD1	grey	grey
SH3BGRL	turquoise	turquoise
PCDHB11	turquoise	turquoise
ARPC1A	yellow	cyan
RUNX3	red	magenta
B4GALNT4	grey	grey
SYNRG	blue	cyan
PPM1F	purple	turquoise
ROR2	turquoise	turquoise
SULT1E1	grey	grey
NSDHL	brown	brown
SERPINE2	pink	turquoise
SPART	turquoise	turquoise
CALU	pink	turquoise
C16orf72	yellow	cyan
PIEZO2	purple	turquoise
FGF9	grey	grey
RFFL	yellow	cyan
KLHL38	turquoise	turquoise
MRPL17	brown	brown
VPS8	green	cyan
